date,Infección en curso ,Nuevos casos ,Personas fallecidas,Recuperados ,Test negativos,Total confirmados
2021-01-11,3254.0,127.0,355.0,12802.0,234.0,16411.0
2021-01-10,3149.0,124.0,350.0,12785.0,134.0,16284.0
2021-01-09,3091.0,162.0,349.0,12720.0,462.0,16160.0
2021-01-08,2950.0,139.0,348.0,12700.0,670.0,15998.0
2021-01-07,3013.0,134.0,346.0,12500.0,468.0,15859.0
2021-01-06,3173.0,166.0,344.0,12210.0,356.0,15725.0
2021-01-05,3241.0,156.0,341.0,11977.0,246.0,15559.0
2021-01-04,3185.0,134.0,338.0,11880.0,136.0,15403.0
2021-01-03,3133.0,127.0,336.0,11800.0,120.0,15269.0
2021-01-02,3227.0,171.0,335.0,11580.0,352.0,15142.0
2021-01-01,,,,,,
2020-12-31,,,,,,
2020-12-30,3344.0,149.0,327.0,11300.0,199.0,14971.0
2020-12-29,3380.0,140.0,325.0,11117.0,215.0,14822.0
2020-12-28,3258.0,114.0,324.0,11100.0,246.0,14682.0
2020-12-27,3249.0,142.0,319.0,11000.0,246.0,14568.0
2020-12-26,3111.0,174.0,318.0,10997.0,215.0,14426.0
2020-12-25,,,,,,
2020-12-24,,,,,,
2020-12-23,3007.0,115.0,313.0,10932.0,209.0,14252.0
2020-12-22,3024.0,117.0,311.0,10802.0,218.0,14137.0
2020-12-21,2995.0,111.0,307.0,10718.0,198.0,14020.0
2020-12-20,2953.0,126.0,306.0,10650.0,230.0,13909.0
2020-12-19,2888.0,119.0,305.0,10590.0,219.0,13783.0
2020-12-18,2902.0,123.0,302.0,10460.0,236.0,13644.0
2020-12-17,2986.0,118.0,300.0,10255.0,215.0,13541.0
2020-12-16,2996.0,146.0,297.0,10130.0,236.0,13423.0
2020-12-15,2972.0,131.0,295.0,10010.0,127.0,13277.0
2020-12-14,3024.0,125.0,293.0,9829.0,216.0,13146.0
2020-12-13,3130.0,107.0,289.0,9602.0,168.0,13021.0
2020-12-12,3128.0,128.0,286.0,9500.0,147.0,12914.0
2020-12-11,3197.0,121.0,282.0,9307.0,183.0,12786.0
2020-12-10,3285.0,101.0,280.0,9100.0,100.0,12665.0
2020-12-09,3299.0,99.0,279.0,8986.0,102.0,12564.0
2020-12-08,3246.0,105.0,279.0,8940.0,100.0,12465.0
2020-12-07,3183.0,98.0,272.0,8905.0,152.0,12360.0
2020-12-06,3098.0,111.0,266.0,8898.0,198.0,12262.0
2020-12-05,3150.0,156.0,260.0,8741.0,285.0,12151.0
2020-12-04,3091.0,139.0,256.0,8648.0,222.0,11995.0
2020-12-03,3174.0,162.0,252.0,8430.0,330.0,11856.0
2020-12-02,3245.0,161.0,249.0,8200.0,324.0,11694.0
2020-12-01,3466.0,156.0,246.0,7821.0,286.0,11533.0
2020-11-30,3486.0,138.0,241.0,7650.0,262.0,11377.0
2020-11-29,3571.0,154.0,238.0,7430.0,59.0,11239.0
2020-11-28,3414.0,121.0,232.0,7322.0,256.0,11085.0
2020-11-27,3538.0,182.0,228.0,7198.0,139.0,10964.0
2020-11-26,3555.0,172.0,221.0,7006.0,118.0,10782.0
